label,core
Abkhazia_Late_Modern_Tkhina_(Chari_River_Profile)_(n=1),Abkhazia_Late_Modern_Tkhina
Adygea_EBA_Maykop_Late_(n=3),Adygea_EBA_Maykop_Late
Adygea_EBA_Maykop_Novosvobodnaya_Klady_(n=4),Adygea_EBA_Maykop_Novosvobodnaya_Klady
Adygea_EBA_Maykop_Novosvobodnaya_Tsarskaya_(n=1),Adygea_EBA_Maykop_Novosvobodnaya_Tsarskaya
Adygea_Eneolithic_Darkveti-Meshoko_Unakozovskaya_(n=4),Adygea_Eneolithic_Darkveti-Meshoko_Unakozovskaya
Adygea_LBA_Dolmen_Shushuk_(n=4),Adygea_LBA_Dolmen_Shushuk
Adygea_LBA_Dolmen_Shushuk_o_(n=1),Adygea_LBA_Dolmen_Shushuk
Afghanistan_MBA_Darra-i-Kur_(low_res)_(n=1),Afghanistan_MBA_Darra-i-Kur
Albania_Early_Medieval_Kenete_(n=1),Albania_Early_Medieval_Kenete
Albania_Early_Medieval_Shtike_(n=1),Albania_Early_Medieval_Shtike
Albania_Early_Modern_Barc_Roma_(n=4),Albania_Early_Modern_Barc_Roma
Albania_Early_Modern_Bardhoc_(n=4),Albania_Early_Modern_Bardhoc
Albania_Early_Modern_Pazhok_(n=1),Albania_Early_Modern_Pazhok
Albania_EBA_(n=1),Albania_EBA
Albania_EN_Podgorie_(low_res)_(n=1),Albania_EN_Podgorie
Albania_Late_Medieval_Barc_(n=1),Albania_Late_Medieval_Barc
Albania_LBA-LIA_Cinamak_(n=1),Albania_LBA-LIA_Cinamak
Albania_LIA_Cinamak_(n=4),Albania_LIA_Cinamak
Albania_LIA-Roman_Republic_Cinamak_(n=1),Albania_LIA-Roman_Republic_Cinamak
Albania_LNCA_(n=2),Albania_LNCA
Albania_MBA_(n=1),Albania_MBA
Albania_MLBA-LIA_Cinamak_(n=1),Albania_MLBA-LIA_Cinamak
Algeria_N_(n=1),Algeria_N
Algeria_Roman_Empire_Sitifis_(North_African_Profile)_(contaminated)_(n=1),Algeria_Roman_Empire_Sitifis
Algeria_Roman_Empire_Sitifis_(North_African-Mixed_Profile)_(n=1),Algeria_Roman_Empire_Sitifis
Algeria_Roman_Empire-Late_Antiquity_Sitifis_(East_Med-Anatolian_Profile)_(n=1),Algeria_Roman_Empire-Late_Antiquity_Sitifis
Altai_Early_Medieval_Kytmanovo_(n=1),Altai_Early_Medieval_Kytmanovo
Altai_EBA_Afanasievo_(n=5),Altai_EBA_Afanasievo
Altai_Eneolithic_Bol'shoy_Mys_Kostenkova_Izbushka_(n=1),Altai_Eneolithic_Bol'shoy_Mys_Kostenkova_Izbushka
Altai_MLBA_Andronovo_Kytmanovo_(n=2),Altai_MLBA_Andronovo_Kytmanovo
Altai_MLBA_Andronovo_Kytmanovo_o_(n=1),Altai_MLBA_Andronovo_Kytmanovo
