label,lat,lon,precision,place
Abkhazia_Late_Modern_Tkhina,42.85,41.55,site,"Tkhina, Ochamchira, Abkhazia"
Adygea_EBA_Maykop_Late,44.61,40.10,region,"Maykop, Adygea, Russia"
Adygea_EBA_Maykop_Novosvobodnaya_Klady,44.36,40.45,site,"Novosvobodnaya (Klady), Adygea, Russia"
Adygea_EBA_Maykop_Novosvobodnaya_Tsarskaya,44.36,40.45,site,"Novosvobodnaya (Tsarskaya), Adygea, Russia"
Adygea_Eneolithic_Darkveti-Meshoko_Unakozovskaya,44.28,40.18,site,"Unakozovskaya cave, Adygea, Russia"
Adygea_LBA_Dolmen_Shushuk,44.30,40.30,site,"Shushuk dolmen, Adygea, Russia"
Afghanistan_MBA_Darra-i-Kur,36.85,70.45,site,"Darra-i-Kur cave, Badakhshan, Afghanistan"
Albania_EBA,41.15,20.17,country,"Albania"
Albania_EN_Podgorie,40.75,20.85,site,"Podgorie, Korce, Albania"
Albania_Early_Medieval_Kenete,42.05,20.40,site,"Kenete, Kukes, Albania"
Albania_Early_Medieval_Shtike,40.35,20.65,site,"Shtike, Korce, Albania"
Albania_Early_Modern_Barc_Roma,40.65,20.75,site,"Barc, Korce, Albania"
Albania_Early_Modern_Bardhoc,42.10,20.35,site,"Bardhoc, Kukes, Albania"
Albania_Early_Modern_Pazhok,41.05,20.00,site,"Pazhok, Elbasan, Albania"
Albania_LBA-LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LIA-Roman_Republic_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LNCA,41.15,20.17,country,"Albania"
Albania_Late_Medieval_Barc,40.65,20.75,site,"Barc, Korce, Albania"
Albania_MBA,41.15,20.17,country,"Albania"
Albania_MLBA-LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Algeria_N,36.20,4.50,country,"Northern Algeria"
Algeria_Roman_Empire-Late_Antiquity_Sitifis,36.19,5.41,site,"Sitifis (Setif), Algeria"
Algeria_Roman_Empire_Sitifis,36.19,5.41,site,"Sitifis (Setif), Algeria"
Altai_EBA_Afanasievo,51.50,86.00,region,"Altai Mountains, Russia"
Altai_Early_Medieval_Kytmanovo,53.46,85.45,site,"Kytmanovo, Altai Krai, Russia"
Altai_Eneolithic_Bol'shoy_Mys_Kostenkova_Izbushka,52.45,84.95,guess,"Bolshoy Mys, Lake Itkul, Altai Krai, Russia"
Altai_MLBA_Andronovo_Kytmanovo,53.46,85.45,site,"Kytmanovo, Altai Krai, Russia"
Altai_N-Eneolithic_Bol'shoy_Mys_Itkul,52.45,84.95,site,"Bolshoy Mys, Lake Itkul, Altai Krai, Russia"
Altai_N_Chumysh-Perekat,53.30,85.20,guess,"Chumysh river, Altai Krai, Russia"
Altai_N_Firsovo,53.25,83.95,site,"Firsovo, Altai Krai, Russia"
Altai_N_Kuznetsk-Altai_Ust-Isha,52.30,86.20,site,"Ust-Isha, Altai Krai, Russia"
Altai_N_Nizhnetytkesken,51.40,85.90,site,"Nizhnetytkesken cave, Altai Republic, Russia"
Altai_N_Novoaltaysk-Razvilka,53.41,83.94,site,"Novoaltaysk, Altai Krai, Russia"
Altai_N_Tuzovskie_Bugry,53.00,84.50,guess,"Tuzovskie Bugry, Altai Krai, Russia"
Altai_N_Ust-Isha,52.30,86.20,site,"Ust-Isha, Altai Krai, Russia"
Altai_UP_Denisova,51.40,84.68,site,"Denisova Cave, Altai Krai, Russia"
Amur_IA_Oktyabr'skoe,50.70,128.30,guess,"Oktyabrsky district, Amur Oblast, Russia"
Anatolia_Achaemenid-Hellenistic_Halicarnassus,37.04,27.43,site,"Halicarnassus (Bodrum), Turkey"
Anatolia_Archaic-Achaemenid_Degirmendere,38.11,27.14,site,"Degirmendere (Kolophon), Izmir, Turkey"
Anatolia_CA_Kuriki_Hoyuk,37.80,41.40,site,"Kuriki Hoyuk, Batman, Turkey"
Anatolia_Classical-Achaemenid_Halicarnassus,37.04,27.43,site,"Halicarnassus (Bodrum), Turkey"
Anatolia_EBA_Amasya,40.65,35.83,site,"Amasya, Turkey"
Anatolia_EBA_Arslantepe,38.38,38.36,site,"Arslantepe, Malatya, Turkey"
Anatolia_EBA_Isparta,37.76,30.55,district,"Isparta, Turkey"
Anatolia_EBA_Izmir_Yassitepe,38.46,27.20,site,"Yassitepe, Izmir, Turkey"
Anatolia_EBA_Ovaoren,38.95,34.60,site,"Ovaoren, Nevsehir, Turkey"
Anatolia_ECA_Buyukkaya,40.02,34.62,site,"Buyukkaya, Bogazkoy, Corum, Turkey"
Anatolia_Early-High_Medieval_Stratonikeia,37.31,28.06,site,"Stratonikeia, Mugla, Turkey"
Anatolia_Early_Medieval_(Byzantine)_Ilipinar,40.47,29.30,site,"Ilipinar, Bursa, Turkey"
Anatolia_Early_Medieval_(Byzantine)_Nicaea,40.43,29.72,site,"Nicaea (Iznik), Turkey"
Anatolia_Early_Medieval_(Byzantine)_Samantas,40.40,29.50,guess,"Samantas, Bithynia, Turkey"
Anatolia_Early_Medieval_(Byzantine)_Zeytinliada,40.40,27.80,site,"Zeytinliada, Erdek, Balikesir, Turkey"
Anatolia_Early_Modern_Capalibag,39.40,28.00,guess,"Capalibag, western Anatolia, Turkey"
Anatolia_Early_Modern_Kaman-Kalehoyuk,39.36,33.75,site,"Kaman-Kalehoyuk, Kirsehir, Turkey"
Anatolia_Early_Modern_Nicaea,40.43,29.72,site,"Nicaea (Iznik), Turkey"
Anatolia_Early_Modern_Zeytinliada,40.40,27.80,site,"Zeytinliada, Erdek, Balikesir, Turkey"
Anatolia_Hellenistic-Roman_Empire_Gordion,39.65,31.99,site,"Gordion, Ankara, Turkey"
Anatolia_Hellenistic-Roman_Republic_Ephesus,37.94,27.34,site,"Ephesus, Izmir, Turkey"
Anatolia_Hellenistic-Roman_Republic_Gordion,39.65,31.99,site,"Gordion, Ankara, Turkey"
Anatolia_Hellenistic-Roman_Republic_Halicarnassus,37.04,27.43,site,"Halicarnassus (Bodrum), Turkey"
Anatolia_Hellenistic-Roman_Republic_Kaman-Kalehoyuk,39.36,33.75,site,"Kaman-Kalehoyuk, Kirsehir, Turkey"
Anatolia_Hellenistic-Roman_Republic_Samsun,41.29,36.33,site,"Samsun, Turkey"
Anatolia_High_Medieval-Late_Modern_Bogazkoy,40.02,34.62,site,"Bogazkoy, Corum, Turkey"
Anatolia_High_Medieval_Stratonikeia,37.31,28.06,site,"Stratonikeia, Mugla, Turkey"
Anatolia_IA_Gordion,39.65,31.99,site,"Gordion, Ankara, Turkey"
Anatolia_LCA-EBA_Ulucak,38.45,27.35,site,"Ulucak Hoyuk, Izmir, Turkey"
Anatolia_LCA_Arslantepe,38.38,38.36,site,"Arslantepe, Malatya, Turkey"
Anatolia_LCA_Barcin,40.27,29.60,site,"Barcin Hoyuk, Bursa, Turkey"
Anatolia_LCA_Camlibel_Tarlasi,40.05,34.55,site,"Camlibel Tarlasi, Corum, Turkey"
Anatolia_LCA_Ikiztepe,41.65,35.88,site,"Ikiztepe, Samsun, Turkey"
Anatolia_LCA_Ilipinar,40.47,29.30,site,"Ilipinar, Bursa, Turkey"
Anatolia_LN_Kumtepe,39.98,26.23,site,"Kumtepe, Canakkale, Turkey"
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Nicaea,40.43,29.72,site,"Nicaea (Iznik), Turkey"
Anatolia_Late_Antiquity-Early_Medieval_(Byzantine)_Zeytinliada,40.40,27.80,site,"Zeytinliada, Erdek, Balikesir, Turkey"
Anatolia_Late_Antiquity_(Roman_Empire-Byzantine)_Nicaea,40.43,29.72,site,"Nicaea (Iznik), Turkey"
Anatolia_Late_Antiquity_Bogazkoy,40.02,34.62,site,"Bogazkoy, Corum, Turkey"
Anatolia_Late_Antiquity_Samsun,41.29,36.33,site,"Samsun, Turkey"
Anatolia_Late_Medieval-Early_Modern_Capalibag,39.40,28.00,guess,"Capalibag, western Anatolia, Turkey"
Anatolia_Late_Medieval_Capalibag,39.40,28.00,guess,"Capalibag, western Anatolia, Turkey"
Anatolia_MBA_Cine-Tepecik,37.60,27.95,site,"Cine-Tepecik, Aydin, Turkey"
Anatolia_MBA_Izmir_Yassitepe,38.46,27.20,site,"Yassitepe, Izmir, Turkey"
Anatolia_MLBA_Kaman-Kalehoyuk,39.36,33.75,site,"Kaman-Kalehoyuk, Kirsehir, Turkey"
Anatolia_Mesolithic_Pinarbasi,37.50,33.05,site,"Pinarbasi, Konya, Turkey"
Anatolia_N_Aceramic_Asikli_Hoyuk,38.35,34.23,site,"Asikli Hoyuk, Aksaray, Turkey"
Anatolia_N_Aceramic_Boncuklu,37.77,32.85,site,"Boncuklu Hoyuk, Konya, Turkey"
Anatolia_N_Aceramic_Musular,38.35,34.22,site,"Musular, Aksaray, Turkey"
Anatolia_N_Ceramic_Aktopraklik,40.20,28.75,site,"Aktopraklik, Bursa, Turkey"
Anatolia_N_Ceramic_Barcin,40.27,29.60,site,"Barcin Hoyuk, Bursa, Turkey"
Anatolia_N_Ceramic_Catalhoyuk,37.67,32.83,site,"Catalhoyuk, Konya, Turkey"
Anatolia_N_Ceramic_Ilipinar,40.47,29.30,site,"Ilipinar, Bursa, Turkey"
Anatolia_N_Ceramic_Mentese,40.27,29.65,site,"Mentese Hoyuk, Bursa, Turkey"
Anatolia_N_Ceramic_Tepecik_Ciftlik,38.05,34.55,site,"Tepecik-Ciftlik, Nigde, Turkey"
Anatolia_Roman_Empire-Late_Antiquity_Bogazkoy,40.02,34.62,site,"Bogazkoy, Corum, Turkey"
Anatolia_Roman_Empire_Camandiras-Dalagoz,38.50,30.50,guess,"Camandiras-Dalagoz, western Anatolia, Turkey"
Anatolia_Roman_Republic-Empire_Apollonia_ad_Rhyndacum,40.17,28.68,site,"Apollonia ad Rhyndacum (Golyazi), Bursa, Turkey"
Argentina_Aconcagua_500BP,-32.65,-70.01,site,"Aconcagua, Mendoza, Argentina"
Argentina_Arroyo_Seco_II_7700BP,-38.36,-60.24,site,"Arroyo Seco 2, Tres Arroyos, Buenos Aires, Argentina"
Argentina_Calingasta_1450BP,-31.33,-69.42,site,"Calingasta, San Juan, Argentina"
Argentina_Fuego_Patagonian,-54.00,-68.00,region,"Tierra del Fuego, Argentina"
Argentina_Haush_400BP,-54.75,-66.00,ethnic,"Peninsula Mitre, Tierra del Fuego, Argentina"
Argentina_La_Arcillosa_2_5800BP,-53.40,-68.10,site,"La Arcillosa 2, Tierra del Fuego, Argentina"
Argentina_Laguna_Chica_1600BP,-37.50,-62.80,guess,"Laguna Chica, Buenos Aires province, Argentina"
Argentina_Laguna_Chica_6800BP,-37.50,-62.80,guess,"Laguna Chica, Buenos Aires province, Argentina"
Argentina_Laguna_Toro_2400BP,-38.00,-62.00,guess,"Laguna Toro, Pampas, Argentina"
Argentina_Selknam_500BP,-53.80,-68.30,ethnic,"Tierra del Fuego (Selknam), Argentina"
Argentina_Yamana_100BP,-54.90,-67.60,ethnic,"Beagle Channel (Yamana), Argentina"
Argentina_Yamana_1500BP,-54.90,-67.60,ethnic,"Beagle Channel (Yamana), Argentina"
Armenia_Achaemenid-Hellenistic_(Orontid)_Karmir_Blur,40.15,44.47,site,"Karmir Blur, Yerevan, Armenia"
Armenia_Achaemenid-Hellenistic_(Orontid)_Keti,40.75,43.95,site,"Keti, Shirak, Armenia"
Armenia_Achaemenid-Hellenistic_(Orontid)_Noratus,40.38,45.18,site,"Noratus, Gegharkunik, Armenia"
Armenia_Achaemenid_(Orontid)_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_CA_Areni,39.73,45.20,site,"Areni-1 cave, Vayots Dzor, Armenia"
Armenia_EBA_Kura-Araxes_Berkaber,41.02,45.12,site,"Berkaber, Tavush, Armenia"
Armenia_EBA_Kura-Araxes_Kalavan,40.65,45.25,site,"Kalavan, Gegharkunik, Armenia"
Armenia_EBA_Kura-Araxes_Kaps,40.85,43.85,site,"Kaps, Shirak, Armenia"
Armenia_EBA_Kura-Araxes_Karnut,40.87,43.83,site,"Karnut, Shirak, Armenia"
Armenia_EBA_Kura-Araxes_Talin,40.39,43.88,site,"Talin, Aragatsotn, Armenia"
Armenia_EIA_Lchashen-Metsamor_Bagheri_Tchala,40.60,43.90,guess,"Bagheri Chala, Shirak, Armenia"
Armenia_EIA_Lchashen-Metsamor_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_EIA_Lchashen-Metsamor_Bover,41.05,44.65,site,"Bover, Lori, Armenia"
Armenia_EIA_Lchashen-Metsamor_Bragdzor,40.90,44.50,guess,"Bragdzor, Lori, Armenia"
Armenia_EIA_Lchashen-Metsamor_Kapan,39.21,46.41,site,"Kapan, Syunik, Armenia"
Armenia_EIA_Lchashen-Metsamor_Karashamb,40.45,44.65,site,"Karashamb, Kotayk, Armenia"
Armenia_EIA_Lchashen-Metsamor_Karmir_Blur,40.15,44.47,site,"Karmir Blur, Yerevan, Armenia"
Armenia_EIA_Lchashen-Metsamor_Karnut,40.87,43.83,site,"Karnut, Shirak, Armenia"
Armenia_EIA_Lchashen-Metsamor_Keti,40.75,43.95,site,"Keti, Shirak, Armenia"
Armenia_EIA_Lchashen-Metsamor_Norabak,40.20,45.70,site,"Norabak, Gegharkunik, Armenia"
Armenia_EIA_Lchashen-Metsamor_Noratus,40.38,45.18,site,"Noratus, Gegharkunik, Armenia"
Armenia_EIA_Lchashen-Metsamor_Pijut,40.70,43.90,guess,"Pijut, Shirak, Armenia"
Armenia_EIA_Lchashen-Metsamor_Sarukhan,40.45,45.05,site,"Sarukhan, Gegharkunik, Armenia"
Armenia_Hellenistic-Roman_Empire_(Artaxiad)_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_Hellenistic-Roman_Empire_(Artaxiad)_Sarukhan,40.45,45.05,site,"Sarukhan, Gegharkunik, Armenia"
Armenia_Hellenistic-Roman_Empire_(Artaxiad-Arsacid)_Aghitu,39.55,46.05,site,"Aghitu, Syunik, Armenia"
Armenia_High_Medieval_Agarak,40.30,44.30,site,"Agarak, Aragatsotn, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Bardzryal,40.80,43.95,guess,"Bardzryal, Shirak, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Bover,41.05,44.65,site,"Bover, Lori, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Harjis,39.55,46.00,site,"Harzhis, Syunik, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Karmir_Blur,40.15,44.47,site,"Karmir Blur, Yerevan, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Keti,40.75,43.95,site,"Keti, Shirak, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Lori_Berd,41.05,44.42,site,"Lori Berd, Lori, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Noratus,40.38,45.18,site,"Noratus, Gegharkunik, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian-Median/Achaemenid_Pijut,40.70,43.90,guess,"Pijut, Shirak, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian_Bardzryal,40.80,43.95,guess,"Bardzryal, Shirak, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian_Bover,41.05,44.65,site,"Bover, Lori, Armenia"
Armenia_IA_Lchashen-Metsamor/Urartian_Karmir_Blur,40.15,44.47,site,"Karmir Blur, Yerevan, Armenia"
Armenia_LBA-EIA_Lchashen-Metsamor_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_LBA-EIA_Lchashen-Metsamor_Noratus,40.38,45.18,site,"Noratus, Gegharkunik, Armenia"
Armenia_LBA_Keti,40.75,43.95,site,"Keti, Shirak, Armenia"
Armenia_LBA_Lchashen-Metsamor_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_LBA_Lchashen-Metsamor_Black_Fortress,40.78,43.85,site,"Black Fortress (Sev Berd), Gyumri, Armenia"
Armenia_LBA_Lchashen-Metsamor_Dzori_Gekh,40.90,44.50,guess,"Dzori Gekh, Lori, Armenia"
Armenia_LBA_Lchashen-Metsamor_Karashamb,40.45,44.65,site,"Karashamb, Kotayk, Armenia"
Armenia_LBA_Lchashen-Metsamor_Lchashen,40.52,44.93,site,"Lchashen, Gegharkunik, Armenia"
Armenia_LBA_Lchashen-Metsamor_Lernakert,40.62,43.95,site,"Lernakert, Shirak, Armenia"
Armenia_LBA_Lchashen-Metsamor_Lori_Berd,41.05,44.42,site,"Lori Berd, Lori, Armenia"
Armenia_LBA_Lchashen-Metsamor_Nerkin_Getashen,40.15,45.28,site,"Nerkin Getashen, Gegharkunik, Armenia"
Armenia_LBA_Lchashen-Metsamor_Noratus,40.38,45.18,site,"Noratus, Gegharkunik, Armenia"
Armenia_LBA_Lchashen-Metsamor_Sarukhan,40.45,45.05,site,"Sarukhan, Gegharkunik, Armenia"
Armenia_LBA_Lchashen-Metsamor_Tekhut,40.90,44.00,guess,"Tekhut, northern Armenia"
Armenia_LN_Aratashen-Shulaveri-Shomutepe,40.13,44.13,site,"Aratashen, Armavir, Armenia"
Armenia_Late_Antiquity-Early_Medieval_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_Late_Antiquity_Sarukhan_(Arsacid),40.45,45.05,site,"Sarukhan, Gegharkunik, Armenia"
Armenia_MBA_Trialeti,40.50,44.50,region,"Northern Armenia (Trialeti culture)"
Armenia_MLBA_Katnaghhiur,40.32,44.10,site,"Katnaghbyur, Aragatsotn, Armenia"
Armenia_MLBA_Lchashen,40.52,44.93,site,"Lchashen, Gegharkunik, Armenia"
Armenia_Roman_Republic-Empire_(Artaxiad)_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Armenia_Roman_Republic-Late_Antiquity_(Artaxiad-Arsacid)_Beniamin,40.68,43.90,site,"Beniamin, Shirak, Armenia"
Australia_Barham_1600-1400BP,-35.63,144.13,site,"Barham, New South Wales, Australia"
Australia_Cairns_420BP,-16.92,145.77,site,"Cairns, Queensland, Australia"
Australia_Mapoon_112BP,-12.00,141.90,site,"Mapoon, Cape York, Queensland, Australia"
Australia_Weipa_112BP,-12.63,141.88,site,"Weipa, Cape York, Queensland, Australia"
Australia_Willandra_Lakes_4000BP,-33.75,143.05,site,"Willandra Lakes, New South Wales, Australia"
Austria_EN_LBK_Kleinhadersdorf,48.62,16.63,site,"Kleinhadersdorf, Lower Austria, Austria"
Austria_Early_Medieval_Avar_Period,48.00,16.70,region,"Eastern Austria (Avar period)"
Austria_Early_Medieval_Moedling_Lerchengasse,48.09,16.29,site,"Moedling, Lower Austria, Austria"
Austria_Early_Medieval_Pottenbrunn,48.23,15.70,site,"Pottenbrunn, Lower Austria, Austria"
Austria_Early_Medieval_Wels,48.16,14.03,site,"Wels, Upper Austria, Austria"
Austria_IA_La_Tene,47.50,14.00,country,"Austria"
Austria_LN_LBK_Asparn_Schletz,48.58,16.50,site,"Asparn-Schletz, Lower Austria, Austria"
