label,lat,lon,precision,place
Yi_Guizhou_Bijie_Weining,26.86,104.28,site,"Weining County, Bijie, Guizhou, China"
Yi_Sichuan_Liangshan_Yi_Zhaojue,28.01,102.85,site,"Zhaojue County, Liangshan, Sichuan, China"
Yoruba_Nigeria,7.38,3.90,ethnic,"Ibadan, Yorubaland, southwest Nigeria"
Yugur,38.84,99.62,ethnic,"Sunan Yugur Autonomous County, Gansu, China"
Yugur_Western,39.00,99.40,ethnic,"Western Yugur area, Sunan, Gansu, China"
Yukaghir_Forest_(European-Mixed),65.70,150.90,ethnic,"Nelemnoye, Upper Kolyma, Sakha, Russia"
Yukaghir_Tundra,69.15,154.50,ethnic,"Andryushkino, Lower Kolyma, Sakha, Russia"
Yukpa,10.00,-72.80,ethnic,"Sierra de Perija, Venezuela-Colombia border"
Yupik_Chaplin,64.52,-172.40,site,"Novoye Chaplino, Chukotka, Russia"
Yupik_Chukotka,64.70,-173.00,district,"Chukotka Peninsula, Russia"
Yupik_Naukan,66.08,-169.72,site,"Naukan, Cape Dezhnev, Chukotka, Russia"
Yupik_Sireniki,64.42,-173.93,site,"Sireniki, Chukotka, Russia"
Zaghawa_Chad,15.13,22.25,ethnic,"Iriba, Wadi Fira, eastern Chad"
Zaghawa_Sudan,14.20,24.67,ethnic,"Kutum, North Darfur, Sudan"
Zapotec,16.90,-96.50,ethnic,"Oaxaca, Mexico"
Zhuang_Guangxi_Chongzuo,22.38,107.36,site,"Chongzuo, Guangxi, China"
Zhuang_Guangxi_Donglan,24.51,107.37,site,"Donglan County, Hechi, Guangxi, China"
Zhuang_Guangxi_Fusui,22.63,107.90,site,"Fusui County, Chongzuo, Guangxi, China"
Zhuang_Guangxi_Guigang,23.10,109.60,site,"Guigang, Guangxi, China"
Zhuang_Guangxi_Guiping,23.39,110.08,site,"Guiping, Guigang, Guangxi, China"
Zhuang_Guangxi_Hechi,24.69,108.06,site,"Hechi, Guangxi, China"
Zhuang_Guangxi_Hengzhou,22.68,109.27,site,"Hengzhou (Hengxian), Nanning, Guangxi, China"
Zhuang_Guangxi_Jinchengjiang,24.69,108.04,site,"Jinchengjiang District, Hechi, Guangxi, China"
Zhuang_Guangxi_Jingxi,23.13,106.42,site,"Jingxi, Baise, Guangxi, China"
Zhuang_Guangxi_Laibin,23.75,109.22,site,"Laibin, Guangxi, China"
Zhuang_Guangxi_Luzhai,24.51,109.74,site,"Luzhai County, Liuzhou, Guangxi, China"
Zhuang_Guangxi_Qinzhou,21.98,108.62,site,"Qinzhou, Guangxi, China"
Zhuang_Guangxi_Rong'an,25.22,109.40,site,"Rong'an County, Liuzhou, Guangxi, China"
Zhuang_Guangxi_Tianlin,24.29,106.23,site,"Tianlin County, Baise, Guangxi, China"
Zhuang_Guangxi_Tianyang,23.74,106.92,site,"Tianyang District, Baise, Guangxi, China"
Zhuang_Guangxi_Wuming,23.16,108.28,site,"Wuming District, Nanning, Guangxi, China"
Zhuang_Guangxi_Wuxuan,23.60,109.66,site,"Wuxuan County, Laibin, Guangxi, China"
Zhuang_Guangxi_Xilin,24.49,105.09,site,"Xilin County, Baise, Guangxi, China"
Zhuang_Guangxi_Xingbin,23.73,109.23,site,"Xingbin District, Laibin, Guangxi, China"
Zhuang_Guangxi_Yongning,22.76,108.49,site,"Yongning District, Nanning, Guangxi, China"
Zhuang_Guizhou_Congjiang,25.75,108.91,site,"Congjiang County, Qiandongnan, Guizhou, China"
Zhuang_Yunnan_Guangnan,24.05,105.07,site,"Guangnan County, Wenshan, Yunnan, China"
Zhuang_Yunnan_Qiubei,24.04,104.19,site,"Qiubei County, Wenshan, Yunnan, China"
Zhuang_Yunnan_Wenshan,23.37,104.24,site,"Wenshan City, Yunnan, China"
Zoroastrian_India_Irani,19.08,72.88,site,"Mumbai, Maharashtra, India"
Zoroastrian_Iran,31.90,54.37,ethnic,"Yazd, Iran"
Zulu,-28.50,31.00,ethnic,"KwaZulu-Natal, South Africa"
