label,lat,lon,precision,place
Abazin,44.22,42.05,ethnic,"Karachay-Cherkessia, Russia"
Abdal,39.47,76.0,guess,"Aynu (Abdal) area, southern Xinjiang, China"
Abkhazia_Late_Modern_Tkhina,42.85,41.55,site,"Tkhina, Ochamchira, Abkhazia"
Abkhazian,43.0,41.02,ethnic,"Sukhumi, Abkhazia"
Adygea_EBA_Maykop_Late,44.61,40.1,region,"Maykop, Adygea, Russia"
Adygea_EBA_Maykop_Novosvobodnaya_Klady,44.36,40.45,site,"Novosvobodnaya (Klady), Adygea, Russia"
Adygea_EBA_Maykop_Novosvobodnaya_Tsarskaya,44.36,40.45,site,"Novosvobodnaya (Tsarskaya), Adygea, Russia"
Adygea_Eneolithic_Darkveti-Meshoko_Unakozovskaya,44.28,40.18,site,"Unakozovskaya cave, Adygea, Russia"
Adygea_LBA_Dolmen_Shushuk,44.3,40.3,site,"Shushuk dolmen, Adygea, Russia"
Aeta,15.3,120.2,ethnic,"Zambales/Pampanga, Luzon, Philippines"
Afar_Ethiopia,11.79,41.0,district,"Afar Region, Ethiopia"
Afghanistan_MBA_Darra-i-Kur,36.85,70.45,site,"Darra-i-Kur cave, Badakhshan, Afghanistan"
African_American,33.75,-84.39,guess,"Atlanta, Georgia, USA"
Afrikaner,-25.75,28.19,ethnic,"Pretoria, South Africa"
Afro-Kuwaiti,29.38,47.99,guess,"Kuwait City, Kuwait"
Agaw,10.9,36.9,ethnic,"Agew Awi, Amhara, Ethiopia"
Aghem,6.38,10.07,ethnic,"Wum, Northwest Region, Cameroon"
Agta,17.0,122.0,ethnic,"Sierra Madre, northeastern Luzon, Philippines"
Akan_Ghana,6.69,-1.62,ethnic,"Kumasi, Ashanti, Ghana"
Akha_Thailand,20.0,99.9,district,"Chiang Rai Province, Thailand"
Akhvakh,42.4,46.2,district,"Akhvakhsky District, Dagestan, Russia"
Alawite_Syria,35.52,35.79,region,"Latakia, Syria"
Alawite_Turkey,36.2,36.16,district,"Hatay Province, Turkey"
Albania_EBA,41.15,20.17,country,Albania
Albania_EN_Podgorie,40.75,20.85,site,"Podgorie, Korce, Albania"
Albania_Early_Medieval_Kenete,42.05,20.4,site,"Kenete, Kukes, Albania"
Albania_Early_Medieval_Shtike,40.35,20.65,site,"Shtike, Korce, Albania"
Albania_Early_Modern_Barc_Roma,40.65,20.75,site,"Barc, Korce, Albania"
Albania_Early_Modern_Bardhoc,42.1,20.35,site,"Bardhoc, Kukes, Albania"
Albania_Early_Modern_Pazhok,41.05,20.0,site,"Pazhok, Elbasan, Albania"
Albania_LBA-LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LIA-Roman_Republic_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albania_LNCA,41.15,20.17,country,Albania
Albania_Late_Medieval_Barc,40.65,20.75,site,"Barc, Korce, Albania"
Albania_MBA,41.15,20.17,country,Albania
Albania_MLBA-LIA_Cinamak,42.05,20.45,site,"Cinamak, Kukes, Albania"
Albanian,41.33,19.82,country,"Tirana, Albania"
Albanian_Gheg,42.07,19.51,region,"Shkoder, northern Albania"
Albanian_Gheg_Kosovo,42.66,21.16,region,"Pristina, Kosovo"
Albanian_Gheg_Montenegro,41.93,19.22,district,"Ulcinj, Montenegro"
Albanian_Gheg_North_Macedonia,42.01,20.97,region,"Tetovo, North Macedonia"
Albanian_Gheg_Serbia,42.31,21.65,district,"Presevo Valley, Serbia"
Albanian_Tosk,40.62,20.78,region,"Korce, southern Albania"
Albanian_Tosk_Cham_Greece,39.5,20.4,region,"Chameria (Thesprotia), Epirus, Greece"
Albanian_Tosk_North_Macedonia,41.18,20.68,district,"Struga, North Macedonia"
