label,core
Abazin_(n=8),Abazin
Abdal_(n=2),Abdal
Abkhazian_(n=11),Abkhazian
Aeta_(n=2),Aeta
Afar_Ethiopia_(n=3),Afar_Ethiopia
African_American_(n=24),African_American
Afrikaner_(n=90),Afrikaner
Afro-Kuwaiti_(n=3),Afro-Kuwaiti
Agaw_(n=2),Agaw
Aghem_(n=28),Aghem
Agta_(n=2),Agta
Akan_Ghana_(n=51),Akan_Ghana
Akha_Thailand_(n=30),Akha_Thailand
Akhvakh_(n=29),Akhvakh
Alawite_Syria_(n=2),Alawite_Syria
Alawite_Turkey_(n=11),Alawite_Turkey
Albanian_(n=10),Albanian
Albanian_Gheg_(n=24),Albanian_Gheg
Albanian_Gheg_Kosovo_(n=34),Albanian_Gheg_Kosovo
Albanian_Gheg_Montenegro_(n=6),Albanian_Gheg_Montenegro
Albanian_Gheg_North_Macedonia_(n=5),Albanian_Gheg_North_Macedonia
Albanian_Gheg_Serbia_(n=3),Albanian_Gheg_Serbia
Albanian_Tosk_(n=24),Albanian_Tosk
Albanian_Tosk_Cham_Greece_(n=4),Albanian_Tosk_Cham_Greece
Albanian_Tosk_North_Macedonia_(n=2),Albanian_Tosk_North_Macedonia
Aleut_(European-Mixed)_(n=4),Aleut_(European-Mixed)
Algerian_Arab_(n=31),Algerian_Arab
Algerian_Arab_Algiers_(n=22),Algerian_Arab_Algiers
Algerian_Arab_Algiers_(Intermediate_Hartani_Profile)_(n=2),Algerian_Arab_Algiers
Algerian_Arab-Berber_(n=2),Algerian_Arab-Berber
Algerian_Jew_(n=8),Algerian_Jew
Algonquin_(European-Mixed)_(n=1),Algonquin_(European-Mixed)
Alor_(n=23),Alor
Alsatian_Bas-Rhin_(n=44),Alsatian_Bas-Rhin
Alsatian_Haut-Rhin_(n=1),Alsatian_Haut-Rhin
Altai-Kizhi_(n=18),Altai-Kizhi
Altai-Kizhi_o_(n=1),Altai-Kizhi
Altaian_(n=22),Altaian
Alur_(low_res)_(n=10),Alur
Amerindian_North_(n=4),Amerindian_North
Amhara_(n=18),Amhara
Ami_(n=10),Ami
Anakalangu_(n=28),Anakalangu
Andhra_Pradeshi_Brahmin_(n=27),Andhra_Pradeshi_Brahmin
Andi_(Ciscaucasian_Profile)_(n=7),Andi
Andi_(Transcaucasian_Profile)_(n=10),Andi
Anglo-American_(n=42),Anglo-American
Anglo-American_Utah_(n=42),Anglo-American_Utah
Anglo-Canadian_(n=2),Anglo-Canadian
Anglo-New_Zealander_(n=2),Anglo-New_Zealander
Anuak_Ethiopia_(n=18),Anuak_Ethiopia
Argentine_Euro-Mestizo_(n=2),Argentine_Euro-Mestizo
Ari_(n=2),Ari
Ari_Blacksmith_(n=6),Ari_Blacksmith
Ari_Cultivator_(n=15),Ari_Cultivator
Aringa_(n=4),Aringa
Armenian_(n=15),Armenian
Armenian_Adana_(n=1),Armenian_Adana
Armenian_Aintab_(n=3),Armenian_Aintab
Armenian_Alashkert_(n=4),Armenian_Alashkert
Armenian_Amasia_(n=1),Armenian_Amasia
Armenian_Ararat_(n=17),Armenian_Ararat
Armenian_Artsakh_(n=22),Armenian_Artsakh
Armenian_Artvin_(n=1),Armenian_Artvin
Armenian_Ashtarak_(n=1),Armenian_Ashtarak
Armenian_Bayazet_(n=4),Armenian_Bayazet
Armenian_Erzurum_(n=9),Armenian_Erzurum
Armenian_Gardman_(n=1),Armenian_Gardman
Armenian_Gegharkunik_(n=1),Armenian_Gegharkunik
Armenian_Gesaria_(n=4),Armenian_Gesaria
Armenian_Gurin_(n=2),Armenian_Gurin
Armenian_Halep_(n=1),Armenian_Halep
Armenian_Hemshin_(n=8),Armenian_Hemshin
Armenian_Iran_(n=5),Armenian_Iran
Armenian_Kars_(n=1),Armenian_Kars
Armenian_Kessab_(n=4),Armenian_Kessab
Armenian_Kharberd_(n=1),Armenian_Kharberd
Armenian_Lebanon_(n=60),Armenian_Lebanon
Armenian_Lori_(n=5),Armenian_Lori
Armenian_Mardin_(n=1),Armenian_Mardin
Armenian_Mush_(n=6),Armenian_Mush
Armenian_Parspatunik_(n=2),Armenian_Parspatunik
Armenian_Sasun_(n=5),Armenian_Sasun
Armenian_Sebastia_(n=2),Armenian_Sebastia
Armenian_Shamakhi_(n=2),Armenian_Shamakhi
Armenian_Syunik_(n=14),Armenian_Syunik
Armenian_Syunik_o_(n=1),Armenian_Syunik
Armenian_Tigranakert_(Diyarbakir)_(n=2),Armenian_Tigranakert_(Diyarbakir)
Armenian_Urfa_(n=9),Armenian_Urfa
Armenian_Van_(n=4),Armenian_Van
Armenian_Yerevan_(n=9),Armenian_Yerevan
Ashaninka_(n=8),Ashaninka
Ashkenazi_Jew_(n=1203),Ashkenazi_Jew
Ashkenazi_Jew_Austria_(n=2),Ashkenazi_Jew_Austria
Ashkenazi_Jew_Belarus_(n=15),Ashkenazi_Jew_Belarus
Ashkenazi_Jew_France_(n=8),Ashkenazi_Jew_France
Ashkenazi_Jew_Germany_(n=10),Ashkenazi_Jew_Germany
Ashkenazi_Jew_Latvia_(n=2),Ashkenazi_Jew_Latvia
Ashkenazi_Jew_Lithuania_(n=11),Ashkenazi_Jew_Lithuania
Ashkenazi_Jew_Poland_(n=26),Ashkenazi_Jew_Poland
Ashkenazi_Jew_Romania_(n=2),Ashkenazi_Jew_Romania
Ashkenazi_Jew_Russia_(n=10),Ashkenazi_Jew_Russia
Ashkenazi_Jew_Ukraine_(n=24),Ashkenazi_Jew_Ukraine
Assamese_(n=1),Assamese
Assamese_Brahmin_(n=1),Assamese_Brahmin
Assyrian_Chaldean_Catholic_Iraq_(n=7),Assyrian_Chaldean_Catholic_Iraq
Assyrian_Iran_Urmia_(n=2),Assyrian_Iran_Urmia
Assyrian_Iran_Urmia_o_(n=1),Assyrian_Iran_Urmia
Assyrian_Iraq_(n=20),Assyrian_Iraq
Assyrian_Syriac_Orthodox_Turkey_Tur_Abdin_(n=14),Assyrian_Syriac_Orthodox_Turkey_Tur_Abdin
Assyrian_Turkey_Hakkari_(n=14),Assyrian_Turkey_Hakkari
Asur_(n=2),Asur
Atayal_(n=9),Atayal
Australian_Aboriginal_(n=5),Australian_Aboriginal
Austrian_(n=18),Austrian
Austrian_Carinthia_(n=1),Austrian_Carinthia
Avar_(n=42),Avar
Awadhi_Brahmin_Saryupareen_(n=2),Awadhi_Brahmin_Saryupareen
Awadhi_Muslim_(n=2),Awadhi_Muslim
Aymara_Bolivia_(n=13),Aymara_Bolivia
Aymara_Bolivia_(Mestizo_Profile)_(n=16),Aymara_Bolivia
Aymara_Peru_(n=1),Aymara_Peru
Aymara_Peru_Titicaca_(n=11),Aymara_Peru_Titicaca
Azeri_Armenia_(n=2),Azeri_Armenia
Azeri_Azerbaijan_(n=6),Azeri_Azerbaijan
Azeri_Azerbaijan_Aghjabadi_(n=9),Azeri_Azerbaijan_Aghjabadi
Azeri_Azerbaijan_Aghstafa_(n=3),Azeri_Azerbaijan_Aghstafa
Azeri_Azerbaijan_Gabala_(n=21),Azeri_Azerbaijan_Gabala
Azeri_Azerbaijan_Karabakh_(n=6),Azeri_Azerbaijan_Karabakh
Azeri_Azerbaijan_Nakhchivan_(n=2),Azeri_Azerbaijan_Nakhchivan
Azeri_Azerbaijan_Qazax_(n=5),Azeri_Azerbaijan_Qazax
Azeri_Azerbaijan_Shaki_(n=8),Azeri_Azerbaijan_Shaki
Azeri_Azerbaijan_Shamkir_(n=4),Azeri_Azerbaijan_Shamkir
Azeri_Dagestan_(n=27),Azeri_Dagestan
Azeri_Georgia_(n=7),Azeri_Georgia
Azeri_Georgia_o_(n=1),Azeri_Georgia
Azeri_Iran_(n=12),Azeri_Iran
Azeri_Iran_Ardabil_(n=17),Azeri_Iran_Ardabil
Azeri_Iran_East_Azerbaijan_Tabriz_(n=6),Azeri_Iran_East_Azerbaijan_Tabriz
Azeri_Iran_Tehran_(n=9),Azeri_Iran_Tehran
Azeri_Iran_West_Azerbaijan_Maku_(n=2),Azeri_Iran_West_Azerbaijan_Maku
Azeri_Iran_Zanjan_(n=5),Azeri_Iran_Zanjan
Azeri_Turkey_Igdir_(n=7),Azeri_Turkey_Igdir
Azeri_Turkey_Kars_(n=11),Azeri_Turkey_Kars
Baggara_Chad_A_(n=12),Baggara_Chad_A
Baggara_Chad_B_(n=7),Baggara_Chad_B
Baggara_Chad_C_(n=6),Baggara_Chad_C
Baggara_Messiria_Sudan_(n=3),Baggara_Messiria_Sudan
Baggara_Messiria_Sudan_o1_(n=1),Baggara_Messiria_Sudan
Baggara_Messiria_Sudan_o2_(n=1),Baggara_Messiria_Sudan
Baggara_Sudan_(n=17),Baggara_Sudan
Baggara_Sudan_o1_(n=4),Baggara_Sudan
Baggara_Sudan_o2_(n=2),Baggara_Sudan
Bagvalal_(n=14),Bagvalal
Bagvalal_o_(n=2),Bagvalal
Bai_(n=15),Bai
Bai_Guizhou_Bijie_(n=50),Bai_Guizhou_Bijie
Baining_(n=21),Baining
Bajo_(n=3),Bajo
Baka_(n=2),Baka
Bakoko_(n=1),Bakoko
Bakola_(n=2),Bakola
Balinese_(n=19),Balinese
Balkar_(n=7),Balkar
Balochi_Iran_(n=5),Balochi_Iran
Balochi_Pakistan_(n=14),Balochi_Pakistan
Balti_(n=15),Balti
Balti_o_(n=1),Balti
Bamar_(n=117),Bamar
Bamar_o1_(n=5),Bamar
Bamar_o2_(n=5),Bamar
Bamar_o3_(n=2),Bamar
Bambara_Mali_(n=60),Bambara_Mali
Bangwa_(n=2),Bangwa
Bari_(n=4),Bari
Bashkir_(n=10),Bashkir
Bashkir_Baimaksky_(n=8),Bashkir_Baimaksky
Bashkir_Kugarchinsky_(n=7),Bashkir_Kugarchinsky
Bashkir_Miyakinsky_(n=6),Bashkir_Miyakinsky
Basque_France_(n=10),Basque_France
Basque_France_Labourd_(n=11),Basque_France_Labourd
Basque_France_Lower_Navarre_(n=11),Basque_France_Lower_Navarre
