label,place,nn,nn_place,nn_km
Anglo-New_Zealander_(n=2),"Wellington, New Zealand",Welsh_(n=20),"Wales, UK",18785.0
Kol_(n=3),"Rewa area, Madhya Pradesh, India",Indo-Trinidadian_(n=3),"Trinidad, Trinidad and Tobago",14393.0
Indo-Trinidadian_(n=3),"Trinidad, Trinidad and Tobago",Kol_(n=3),"Rewa area, Madhya Pradesh, India",14393.0
Mexico_Early_Modern_Mexico_City_(Central/Southern_African_Bantu_Profile)_(n=2),"Mexico City, Mexico",Umbundu_(n=20),"Huambo, Angola",13056.0
Mexico_Early_Modern_Campeche_(Central/Southern_African_Bantu_Profile)_(n=1),"Campeche, Mexico",Kwangali_Namibia_(n=8),"Rundu, Kavango, Namibia",12734.0
Democratic_Republic_of_the_Congo_Kindoki_230BP_(n=2),"Kindoki, Mbanza Nzundu, Kongo Central, DR Congo",Mexico_Early_Modern_Mexico_City_(Central/Southern_African_Bantu_Profile)_(n=2),"Mexico City, Mexico",12729.0
USA_Maryland_Early-Late_Modern_Catoctin_Furnace_(African_American_Profile)_(n=13),"Catoctin Furnace, Maryland, USA",Swahili_Kenya_Faza_o_(n=5),"Faza, Pate Island, Lamu, Kenya",12565.0
Argentina_La_Arcillosa_2_5800BP_(n=1),"La Arcillosa 2, Tierra del Fuego, Argentina",USA_California_Moaning_Cave_Precolonial_(n=6),"Moaning Cave, Calaveras County, California, USA",11345.0
USA_Santa_Rosa_Island_7400BP_(n=4),"Santa Rosa Island, California, USA",Argentina_Arroyo_Seco_II_7700BP_(n=4),"Arroyo Seco 2, Tres Arroyos, Buenos Aires, Argentina",10137.0
USA_San_Nicolas_Early_Precolonial_(n=5),"San Nicolas Island, California, USA",Brazil_Lapa_Do_Santo_9600BP_(n=5),"Lapa do Santo, Lagoa Santa, Minas Gerais, Brazil",9911.0
USA_Santa_Rosa_Island_4900BP_(n=1),"Santa Rosa Island, California, USA",Argentina_Laguna_Chica_6800BP_(n=3),"Laguna Chica, Buenos Aires province, Argentina",9910.0
USA_Montana_Anzick_Clovis_(n=1),"Anzick site, Wilsall, Montana, USA",Brazil_Sumidouro_10100BP_(n=5),"Lapa do Sumidouro, Lagoa Santa, Minas Gerais, Brazil",9891.0
